Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1301CS41,1,2013,CH101,8,CD,CORE
1301CS41,1,2013,CH110,3,CD,CORE
1301CS41,1,2013,EE101,8,BC,CORE
1301CS41,1,2013,HS101,6,AA,CORE
1301CS41,1,2013,MA101,8,BB,CORE
1301CS41,1,2013,ME110,3,CD,CORE
1301CS41,1,2013,ME111,7,CD,CORE
1301CS41,1,2013,PH101,6,DD,CORE
1301CS41,2,2014,CH102,6,CC,CORE
1301CS41,2,2014,CS101,6,CC,CORE
1301CS41,2,2014,CS110,3,AB,CORE
1301CS41,2,2014,EE102,4,BB,CORE
1301CS41,2,2014,MA102,8,CC,CORE
1301CS41,2,2014,ME101,8,AB,CORE
1301CS41,2,2014,PH102,6,CD,CORE
1301CS41,2,2014,PH110,3,BC,CORE
1301CS41,3,2014,CS201,9,DD,CORE
1301CS41,3,2014,CS203,6,BC,CORE
1301CS41,3,2014,CS221,6,BC,CORE
1301CS41,3,2014,EE220,8,CD,CORE
1301CS41,3,2014,HS201,6,CD,HS Elective
1301CS41,3,2014,MA201,8,CC,CORE
1301CS41,4,2015,CS204,6,CC,CORE
1301CS41,4,2015,CS222,6,CD,CORE
1301CS41,4,2015,CS223,3,AA,CORE
1301CS41,4,2015,CS241,7,BB,CORE
1301CS41,4,2015,CS242,5,BC,CORE
1301CS41,4,2015,HS232,6,CC,HS Elective
1301CS41,4,2015,MA225,8,CC,CORE
1301CS41,4,2015,MA251,6,CC,Science Elective
1301CS41,5,2016,CS301,6,CD,CORE
1301CS41,5,2016,CS331,8,CD,CORE
1301CS41,5,2016,CS341,6,DD,CORE
1301CS41,5,2016,CS342,5,CD,CORE
1301CS41,5,2016,CS343,6,DD,CORE
1301CS41,5,2016,CS344,6,CD,CORE
1301CS41,5,2016,CS345,5,DD,CORE
1301CS41,6,2017,CS302,6,BC,CORE
1301CS41,6,2017,CS346,6,CC,CORE
1301CS41,6,2017,CS347,3,CC,CORE
1301CS41,6,2017,CS348,8,DD,CORE
1301CS41,6,2017,CS362,8,CD,CORE
1301CS41,6,2017,CS399,3,AA,CORE
1301CS41,6,2017,HS312,6,CC,HS Elective
1301CS41,7,2017,CS421,6,CD,CORE
1301CS41,7,2017,CS422,5,BC,CORE
1301CS41,7,2017,CS498,10,BC,CORE
1301CS41,7,2017,CS508,6,BC,Department Elective - I
1301CS41,7,2017,CS561,6,CD,Department Elective - II
1301CS41,7,2017,EE520,6,DD,Open Elective - I
1301CS41,8,2018,CS499,16,BB,CORE
1301CS41,8,2018,CS543,6,CD,Department Elective - IV
1301CS41,8,2018,CS551,6,CC,Open Elective - II
1301CS41,8,2018,CS557,6,CD,Department Elective - III
1301CS41,8,2018,HS421,6,BC,HS Elective
