,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,5.86,49,49,5.86
1,2,44,44,7.07,93,93,6.43
2,3,44,44,6.91,137,137,6.58
3,4,44,44,6.68,181,181,6.61
4,5,36,36,8.5,217,217,6.92
5,6,47,47,7.81,264,264,7.08
6,7,40,40,8.5,304,304,7.27
7,8,40,40,7.65,344,344,7.31
