,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,8.98,49,49,8.98
1,2,44,44,8.57,93,93,8.78
2,3,47,47,7.68,140,140,8.41
3,4,49,49,8.69,189,189,8.49
4,5,52,52,9.08,241,241,8.61
5,6,46,46,8.17,287,287,8.54
6,7,40,40,8.9,327,327,8.59
7,8,40,40,8.85,367,367,8.62
