,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,8.84,49,49,8.84
1,2,44,44,8.18,93,93,8.53
2,3,43,43,9.0,136,136,8.68
3,4,47,47,8.96,183,183,8.75
4,5,42,42,8.33,225,225,8.67
5,6,40,40,8.15,265,265,8.59
6,7,41,41,9.22,306,306,8.68
7,8,40,40,8.7,346,346,8.68
