,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,8.47,49,49,8.47
1,2,44,44,7.27,93,93,7.9
2,3,47,47,8.15,140,140,7.99
3,4,49,49,7.98,189,189,7.98
4,5,52,52,7.46,241,241,7.87
5,6,46,46,8.43,287,287,7.96
6,7,40,40,8.7,327,327,8.05
7,8,40,40,8.65,367,367,8.12
