,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,6.27,49,49,6.27
1,2,44,44,6.32,93,93,6.29
2,3,44,44,6.68,137,137,6.42
3,4,44,44,5.95,181,181,6.3
4,5,36,36,5.67,217,217,6.2
5,6,47,47,6.04,264,264,6.17
6,7,40,40,6.3,304,304,6.19
7,8,40,40,6.5,344,344,6.22
