,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,7.65,49,49,7.65
1,2,44,44,8.3,93,93,7.96
2,3,49,49,8.14,142,142,8.02
3,4,42,42,8.57,184,184,8.15
4,5,46,46,9.02,230,230,8.32
5,6,41,41,9.1,271,271,8.44
6,7,36,36,8.11,307,307,8.4
7,8,46,46,9.61,353,353,8.56
