,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,7.3,40,40,7.3
1,2,40,40,8.1,80,80,7.7
2,3,50,50,9.8,130,130,8.51
3,4,45,45,9.0,175,175,8.63
