,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,8.1,40,40,8.1
1,2,44,44,7.32,84,84,7.69
2,3,50,50,6.8,134,134,7.36
3,4,45,45,9.0,179,179,7.77
