,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,7.75,40,40,7.75
1,2,44,44,8.09,84,84,7.93
2,3,50,50,8.0,134,134,7.96
3,4,45,45,9.0,179,179,8.22
