,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,7.12,49,49,7.12
1,2,44,44,6.98,93,93,7.05
2,3,43,43,6.12,136,136,6.76
3,4,47,47,6.28,183,183,6.63
4,5,48,48,6.35,231,231,6.58
5,6,40,40,6.15,271,271,6.51
6,7,41,41,6.98,312,312,6.57
7,8,40,40,7.2,352,352,6.64
