,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,7.35,49,49,7.35
1,2,44,44,7.34,93,93,7.34
2,3,47,47,7.66,140,140,7.45
3,4,49,49,8.63,189,189,7.76
4,5,46,46,8.22,235,235,7.85
5,6,46,46,8.39,281,281,7.94
6,7,40,40,8.95,321,321,8.06
7,8,40,40,7.85,361,361,8.04
