,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,7.16,49,49,7.16
1,2,44,44,6.93,93,93,7.05
2,3,46,46,7.0,139,139,7.04
3,4,46,46,7.24,185,185,7.09
4,5,39,39,7.23,224,224,7.11
5,6,40,40,7.3,264,264,7.14
6,7,45,45,7.38,309,309,7.17
7,8,38,38,8.53,347,347,7.32
