,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,9.16,49,49,9.16
1,2,44,44,9.18,93,93,9.17
2,3,43,43,9.47,136,136,9.26
3,4,47,47,9.26,183,183,9.26
4,5,42,42,9.1,225,225,9.23
5,6,40,40,9.6,265,265,9.29
6,7,41,41,9.46,306,306,9.31
7,8,40,40,9.55,346,346,9.34
