,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,8.1,40,40,8.1
1,2,44,44,8.45,84,84,8.29
2,3,50,50,9.2,134,134,8.63
3,4,45,45,10.0,179,179,8.97
