,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,8.1,49,49,8.1
1,2,44,44,7.07,93,93,7.61
2,3,47,47,7.49,140,140,7.57
3,4,49,49,9.08,189,189,7.96
4,5,46,46,8.78,235,235,8.12
5,6,46,46,8.74,281,281,8.22
6,7,40,40,9.45,321,321,8.38
7,8,40,40,9.25,361,361,8.47
