,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,16,16,8.0,16,16,8.0
1,2,12,12,9.0,28,28,8.43
2,3,4,4,8.0,32,32,8.38
