,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,6.1,49,49,6.1
1,2,44,44,5.98,93,93,6.04
2,3,44,44,6.45,137,137,6.18
3,4,44,44,6.36,181,181,6.22
4,5,36,36,5.83,217,217,6.16
5,6,47,47,7.45,264,264,6.39
6,7,40,40,7.7,304,304,6.56
7,8,40,40,7.35,344,344,6.65
