,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,7.0,40,40,7.0
1,2,40,40,7.6,80,80,7.3
2,3,50,50,8.6,130,130,7.8
3,4,45,45,8.0,175,175,7.85
