,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,8.04,49,49,8.04
1,2,44,44,6.89,93,93,7.49
2,3,46,46,6.61,139,139,7.2
3,4,46,46,6.63,185,185,7.06
4,5,45,45,7.0,230,230,7.05
5,6,40,40,7.15,270,270,7.06
6,7,45,45,5.84,315,315,6.89
7,8,38,38,6.16,353,353,6.81
