,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,7.67,49,49,7.67
1,2,44,44,7.5,93,93,7.59
2,3,43,43,7.23,136,136,7.48
3,4,47,47,7.32,183,183,7.44
4,5,48,48,6.65,231,231,7.27
5,6,40,40,6.78,271,271,7.2
6,7,41,41,7.88,312,312,7.29
7,8,40,40,7.25,352,352,7.28
