,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,8.65,40,40,8.65
1,2,40,40,8.7,80,80,8.68
2,3,50,50,9.8,130,130,9.11
3,4,45,45,10.0,175,175,9.34
