,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,7.1,49,49,7.1
1,2,44,44,6.86,93,93,6.99
2,3,46,46,7.09,139,139,7.02
3,4,46,46,7.89,185,185,7.24
4,5,39,39,6.62,224,224,7.13
5,6,40,40,6.78,264,264,7.08
6,7,45,45,7.64,309,309,7.16
7,8,38,38,7.68,347,347,7.22
