,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,6.95,40,40,6.95
1,2,44,44,7.68,84,84,7.33
2,3,50,50,5.0,134,134,6.46
3,4,45,45,9.0,179,179,7.1
