,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,22,22,9.27,22,22,9.27
1,2,0,0,,22,22,9.27
2,3,12,12,9.0,34,34,9.18
