,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,6.95,40,40,6.95
1,2,40,40,7.25,80,80,7.1
2,3,50,50,8.8,130,130,7.75
3,4,45,45,9.0,175,175,8.07
