,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,9.29,49,49,9.29
1,2,44,44,9.14,93,93,9.22
2,3,46,46,9.28,139,139,9.24
3,4,46,46,8.8,185,185,9.13
4,5,39,39,9.46,224,224,9.19
5,6,40,40,8.43,264,264,9.07
6,7,45,45,7.71,309,309,8.87
7,8,38,38,9.37,347,347,8.93
