,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,8.75,40,40,8.75
1,2,40,40,8.0,80,80,8.38
2,3,50,50,8.2,130,130,8.31
3,4,45,45,8.0,175,175,8.23
