,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,7.96,49,49,7.96
1,2,44,44,8.11,93,93,8.03
2,3,44,44,8.43,137,137,8.16
3,4,44,44,7.82,181,181,8.08
4,5,36,36,9.58,217,217,8.33
5,6,47,47,8.87,264,264,8.42
6,7,40,40,8.65,304,304,8.45
7,8,40,40,9.25,344,344,8.55
