,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,6.76,49,49,6.76
1,2,44,44,6.14,93,93,6.46
2,3,49,49,6.31,142,142,6.41
3,4,42,42,7.29,184,184,6.61
4,5,52,52,7.38,236,236,6.78
5,6,41,41,7.63,277,277,6.91
6,7,36,36,8.44,313,313,7.08
7,8,46,46,8.57,359,359,7.27
