Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1311CS07,1,2013,CS541,6,BB,CORE
1311CS07,1,2013,CS543,6,BB,Elective - II
1311CS07,1,2013,CS558,6,BC,CORE
1311CS07,1,2013,CS561,6,AB,Elective - I
1311CS07,1,2013,CS591,4,AB,CORE
1311CS07,1,2013,MA501,6,BC,CORE
1311CS07,1,2013,MA511,6,BC,Elective - III
1311CS07,2,2014,CS502,6,F,Elective - VI
1311CS07,2,2014,CS511,6,DD,CORE
1311CS07,2,2014,CS512,6,F,CORE
1311CS07,2,2014,CS513,6,CD,CORE
1311CS07,2,2014,CS548,6,F,Elective - V
1311CS07,2,2014,CS592,4,F,CORE
1311CS07,2,2014,CS743,6,F,Elective - IV
1311CS07,2,2014,HS514,4,F,CORE
