,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,8.05,40,40,8.05
1,2,44,44,6.82,84,84,7.4
2,3,50,50,8.0,134,134,7.63
3,4,45,45,9.0,179,179,7.97
