,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,18,18,8.0,18,18,8.0
1,2,6,6,9.0,24,24,8.25
2,3,6,6,10.0,30,30,8.6
