,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,7.12,49,49,7.12
1,2,44,44,7.11,93,93,7.12
2,3,49,49,7.47,142,142,7.24
3,4,42,42,7.43,184,184,7.28
4,5,46,46,9.11,230,230,7.65
5,6,41,41,8.68,271,271,7.8
6,7,36,36,7.28,307,307,7.74
7,8,46,46,8.09,353,353,7.79
