,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,8.85,40,40,8.85
1,2,40,40,7.2,80,80,8.02
2,3,50,50,8.4,130,130,8.17
3,4,45,45,8.0,175,175,8.13
