,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,7.1,49,49,7.1
1,2,44,44,6.77,93,93,6.95
2,3,43,43,6.14,136,136,6.69
3,4,47,47,5.02,183,183,6.26
4,5,42,42,5.62,225,225,6.14
5,6,40,40,5.38,265,265,6.03
6,7,41,41,6.8,306,306,6.13
7,8,40,40,6.15,346,346,6.13
