,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,8.2,40,40,8.2
1,2,44,44,8.32,84,84,8.26
2,3,50,50,9.0,134,134,8.54
3,4,45,45,9.0,179,179,8.65
