,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,6.61,49,49,6.61
1,2,44,44,6.27,93,93,6.45
2,3,47,47,6.4,140,140,6.44
3,4,49,49,7.02,189,189,6.59
4,5,52,52,6.08,241,241,6.48
5,6,46,46,7.13,287,287,6.58
6,7,40,40,7.3,327,327,6.67
7,8,40,40,7.7,367,367,6.78
