,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,8.37,49,49,8.37
1,2,44,44,8.14,93,93,8.26
2,3,44,44,9.61,137,137,8.69
3,4,44,44,7.93,181,181,8.51
4,5,36,36,9.64,217,217,8.7
5,6,47,47,9.04,264,264,8.76
6,7,40,40,9.65,304,304,8.88
7,8,40,40,9.0,344,344,8.89
