,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,9.3,40,40,9.3
1,2,40,40,9.15,80,80,9.22
2,3,50,50,9.8,130,130,9.45
3,4,45,45,9.0,175,175,9.33
