,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,6.49,49,49,6.49
1,2,44,44,7.98,93,93,7.19
2,3,46,46,8.02,139,139,7.47
3,4,46,46,5.7,185,185,7.03
4,5,39,39,8.08,224,224,7.21
5,6,40,40,6.78,264,264,7.14
6,7,45,45,7.4,309,309,7.18
7,8,40,40,7.8,349,349,7.25
