,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,6.55,49,49,6.55
1,2,44,44,6.7,93,93,6.62
2,3,49,49,6.29,142,142,6.51
3,4,42,42,6.86,184,184,6.59
4,5,46,46,7.33,230,230,6.73
5,6,41,41,7.02,271,271,6.78
6,7,36,36,7.61,307,307,6.88
7,8,46,46,7.17,353,353,6.92
