,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,7.24,49,49,7.24
1,2,44,44,7.3,93,93,7.27
2,3,44,44,7.61,137,137,7.38
3,4,44,44,7.41,181,181,7.39
4,5,36,36,7.81,217,217,7.46
5,6,47,47,8.26,264,264,7.6
6,7,40,40,8.7,304,304,7.74
7,8,40,40,8.2,344,344,7.8
