,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,6.18,49,49,6.18
1,2,44,44,5.66,93,93,5.94
2,3,43,43,6.47,136,136,6.1
3,4,47,47,6.38,183,183,6.17
4,5,42,42,7.98,225,225,6.51
5,6,40,40,6.18,265,265,6.46
6,7,41,41,6.12,306,306,6.42
7,8,40,40,6.4,346,346,6.41
