,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,9.35,40,40,9.35
1,2,40,40,8.45,80,80,8.9
2,3,50,50,9.2,130,130,9.02
3,4,45,45,9.0,175,175,9.01
