,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,7.25,40,40,7.25
1,2,40,40,9.1,80,80,8.18
2,3,50,50,9.2,130,130,8.57
3,4,45,45,9.0,175,175,8.68
