,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,9.2,49,49,9.2
1,2,44,44,9.02,93,93,9.12
2,3,43,43,9.0,136,136,9.08
3,4,47,47,9.23,183,183,9.12
4,5,42,42,9.43,225,225,9.18
5,6,40,40,8.82,265,265,9.12
6,7,41,41,8.9,306,306,9.09
7,8,40,40,8.3,346,346,9.0
