,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,6.88,49,49,6.88
1,2,44,44,7.18,93,93,7.02
2,3,47,47,8.13,140,140,7.39
3,4,49,49,7.55,189,189,7.43
4,5,46,46,8.0,235,235,7.54
5,6,46,46,8.35,281,281,7.68
6,7,40,40,8.85,321,321,7.82
7,8,40,40,8.4,361,361,7.89
