Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1301EE07,1,2013,CH101,8,BB,CORE
1301EE07,1,2013,CH110,3,BB,CORE
1301EE07,1,2013,EE101,8,BB,CORE
1301EE07,1,2013,HS101,6,BB,CORE
1301EE07,1,2013,MA101,8,CC,CORE
1301EE07,1,2013,ME110,3,AB,CORE
1301EE07,1,2013,ME111,7,BB,CORE
1301EE07,1,2013,PH101,6,BB,CORE
1301EE07,2,2014,CH102,6,CC,CORE
1301EE07,2,2014,CS101,6,BC,CORE
1301EE07,2,2014,CS110,3,BB,CORE
1301EE07,2,2014,EE102,4,AB,CORE
1301EE07,2,2014,MA102,8,BB,CORE
1301EE07,2,2014,ME101,8,BC,CORE
1301EE07,2,2014,PH102,6,CC,CORE
1301EE07,2,2014,PH110,3,AB,CORE
1301EE07,3,2014,CS201,9,BC,CORE
1301EE07,3,2014,EE200,6,AA,CORE
1301EE07,3,2014,EE201,6,AB,CORE
1301EE07,3,2014,EE202,3,BB,CORE
1301EE07,3,2014,EE220,8,AB,CORE
1301EE07,3,2014,HS201,6,BB,HS Elective
1301EE07,3,2014,MA201,8,BB,CORE
1301EE07,4,2015,EE203,6,BB,CORE
1301EE07,4,2015,EE204,3,AA,CORE
1301EE07,4,2015,EE230,8,CC,CORE
1301EE07,4,2015,EE280,6,BB,CORE
1301EE07,4,2015,EE281,3,BB,CORE
1301EE07,4,2015,HS202,6,BC,HS Elective
1301EE07,4,2015,MA225,8,BB,CORE
1301EE07,4,2015,MA231,6,BC,Science Elective
1301EE07,5,2015,EE310,6,AB,CORE
1301EE07,5,2015,EE311,3,AB,CORE
1301EE07,5,2015,EE320,6,AB,CORE
1301EE07,5,2015,EE331,3,AB,CORE
1301EE07,5,2015,EE350,6,AB,CORE
1301EE07,5,2015,EE370,6,AA,CORE
1301EE07,5,2015,EE371,3,AB,CORE
1301EE07,5,2015,EE380,6,AA,CORE
1301EE07,5,2015,HS351,6,AB,HS Elective
1301EE07,6,2016,EE304,4,BB,CORE
1301EE07,6,2016,EE321,3,CC,CORE
1301EE07,6,2016,EE322,6,AB,CORE
1301EE07,6,2016,EE340,6,AB,CORE
1301EE07,6,2016,EE351,6,BC,CORE
1301EE07,6,2016,EE360,6,AB,CORE
1301EE07,6,2016,EE361,3,BB,CORE
1301EE07,6,2016,HS311,6,BC,HSS Electives
1301EE07,7,2016,EE400,2,BB,CORE
1301EE07,7,2016,EE480,6,AB,CORE
1301EE07,7,2016,EE481,6,AA,CORE
1301EE07,7,2016,EE482,3,BB,CORE
1301EE07,7,2016,EE498,10,BC,CORE
1301EE07,7,2016,EE520,6,AB,Department Elective - II
1301EE07,7,2016,EE540,6,AB,Department Elective - I
1301EE07,7,2016,PH401,6,AA,Open Elective - I
1301EE07,8,2017,EE494,16,CC,CORE
1301EE07,8,2017,EE508,6,BB,Department Elective - III
1301EE07,8,2017,EE521,6,BB,Department Elective - IV
1301EE07,8,2017,EE525,6,BC,Open Elective - II
1301EE07,8,2017,HS441,6,AB,HS Elective
