,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,7.57,49,49,7.57
1,2,44,44,6.98,93,93,7.29
2,3,47,47,7.4,140,140,7.33
3,4,49,49,7.71,189,189,7.43
4,5,52,52,7.42,241,241,7.43
5,6,46,46,6.22,287,287,7.23
6,7,40,40,6.45,327,327,7.14
7,8,40,40,6.8,367,367,7.1
