,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,4.96,49,49,4.96
1,2,44,44,5.64,93,93,5.28
2,3,49,49,4.47,142,142,5.0
3,4,42,42,5.0,184,184,5.0
4,5,52,52,5.4,236,236,5.09
5,6,41,41,5.29,277,277,5.12
6,7,36,36,4.89,313,313,5.09
7,8,46,46,6.57,359,359,5.28
