,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,8.71,49,49,8.71
1,2,44,44,8.59,93,93,8.66
2,3,46,46,8.46,139,139,8.59
3,4,46,46,7.26,185,185,8.26
4,5,39,39,7.23,224,224,8.08
5,6,40,40,6.58,264,264,7.85
6,7,45,45,6.42,309,309,7.64
7,8,38,38,6.21,347,347,7.49
