,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,7.3,40,40,7.3
1,2,40,40,7.85,80,80,7.58
2,3,50,50,8.6,130,130,7.97
3,4,45,45,10.0,175,175,8.49
