,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,8.25,40,40,8.25
1,2,46,46,8.04,86,86,8.14
2,3,50,50,7.6,136,136,7.94
3,4,45,45,7.0,181,181,7.71
