,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,9.0,40,40,9.0
1,2,44,44,8.64,84,84,8.81
2,3,50,50,8.0,134,134,8.51
3,4,45,45,9.0,179,179,8.63
