,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,6.12,49,49,6.12
1,2,44,44,4.98,93,93,5.58
2,3,46,46,5.04,139,139,5.4
3,4,46,46,5.17,185,185,5.35
4,5,39,39,5.54,224,224,5.38
5,6,40,40,5.5,264,264,5.4
6,7,45,45,5.93,309,309,5.48
7,8,38,38,5.53,347,347,5.48
