,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,7.6,40,40,7.6
1,2,40,40,7.15,80,80,7.38
2,3,50,50,7.8,130,130,7.54
3,4,45,45,8.0,175,175,7.66
