,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,49,49,8.84,49,49,8.84
1,2,44,44,7.93,93,93,8.41
2,3,47,47,8.79,140,140,8.54
3,4,49,49,8.69,189,189,8.58
4,5,46,46,8.48,235,235,8.56
5,6,46,46,8.52,281,281,8.55
6,7,40,40,9.55,321,321,8.68
7,8,40,40,8.85,361,361,8.7
