,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,22,22,8.27,22,22,8.27
1,2,0,0,,22,22,8.27
2,3,6,6,10.0,28,28,8.64
