,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,8.2,40,40,8.2
1,2,40,40,7.7,80,80,7.95
2,3,50,50,9.0,130,130,8.35
3,4,45,45,9.0,175,175,8.52
