,Semester,Semester Credits,Semester_Credits_Cleared,SPI,Total Credits,Total Credits Cleared,CPI
0,1,40,40,9.75,40,40,9.75
1,2,44,44,8.55,84,84,9.12
2,3,50,50,9.0,134,134,9.07
3,4,45,45,10.0,179,179,9.31
