Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1311CS15,1,2013,CS541,6,BB,CORE
1311CS15,1,2013,CS543,6,AB,Elective - II
1311CS15,1,2013,CS558,6,AA,CORE
1311CS15,1,2013,CS561,6,AB,Elective - I
1311CS15,1,2013,CS591,4,AA,CORE
1311CS15,1,2013,MA501,6,AA,CORE
1311CS15,1,2013,MA511,6,AB,Elective - III
1311CS15,2,2014,CS502,6,AA,Elective - IV
1311CS15,2,2014,CS511,6,AA,CORE
1311CS15,2,2014,CS512,6,AA,CORE
1311CS15,2,2014,CS513,6,BB,CORE
1311CS15,2,2014,CS548,6,BC,Elective - V
1311CS15,2,2014,CS592,4,AB,CORE
1311CS15,2,2014,CS743,6,AA,Elective - VI
1311CS15,2,2014,HS514,4,BB,CORE
1311CS15,3,2014,CS691,10,AA,CORE
1311CS15,3,2014,CS698,40,AB,CORE
1311CS15,4,2015,CS699,45,AB,CORE
