Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
0801EE08,1,2008,CH101,8,AA,CORE
0801EE08,1,2008,CH110,3,BB,CORE
0801EE08,1,2008,EE101,8,BB,CORE
0801EE08,1,2008,HS101,6,BB,CORE
0801EE08,1,2008,MA101,8,AA,CORE
0801EE08,1,2008,ME111,7,BB,CORE
0801EE08,1,2008,PH101,6,AA,CORE
0801EE08,1,2008,PH110,3,AA,CORE
0801EE08,2,2008,CH102,6,AA,CORE
0801EE08,2,2008,CS101,6,BC,CORE
0801EE08,2,2008,CS110,3,BB,CORE
0801EE08,2,2008,EE102,4,AA,CORE
0801EE08,2,2008,MA102,8,BB,CORE
0801EE08,2,2008,ME101,8,AB,CORE
0801EE08,2,2008,ME110,3,AB,CORE
0801EE08,2,2008,PH102,6,AA,CORE
0801EE08,3,2009,CS201,9,AB,CORE
0801EE08,3,2009,EE200,6,AB,CORE
0801EE08,3,2009,EE201,6,AB,CORE
0801EE08,3,2009,EE202,3,AA,CORE
0801EE08,3,2009,EE220,8,AA,CORE
0801EE08,3,2009,HS201,6,AB,HS Elective
0801EE08,3,2009,MA201,8,AA,CORE
0801EE08,4,2009,EE203,6,AA,CORE
0801EE08,4,2009,EE204,3,AB,CORE
0801EE08,4,2009,EE230,8,AB,CORE
0801EE08,4,2009,EE280,6,AB,CORE
0801EE08,4,2009,EE281,3,AA,CORE
0801EE08,4,2009,HS223,6,AB,HS ELECTIVE
0801EE08,4,2009,MA225,8,AB,CORE
0801EE08,4,2009,MA251,6,AA,Elective-Sc.
0801EE08,5,2010,EE310,6,AB,CORE
0801EE08,5,2010,EE311,3,AB,CORE
0801EE08,5,2010,EE320,6,AB,CORE
0801EE08,5,2010,EE331,3,AA,CORE
0801EE08,5,2010,EE350,6,AA,CORE
0801EE08,5,2010,EE370,6,AA,CORE
0801EE08,5,2010,EE371,3,AA,CORE
0801EE08,5,2010,EE380,6,AB,CORE
0801EE08,6,2010,EE304,4,AA,CORE
0801EE08,6,2010,EE321,3,AA,CORE
0801EE08,6,2010,EE322,6,AA,CORE
0801EE08,6,2010,EE340,6,AA,CORE
0801EE08,6,2010,EE351,6,AB,CORE
0801EE08,6,2010,EE360,6,AA,CORE
0801EE08,6,2010,EE361,3,AA,CORE
0801EE08,6,2010,HS331,6,AB,HS Elective
0801EE08,7,2011,EE400,2,AA,CORE
0801EE08,7,2011,EE430,6,AB,DEPARTMENTAL ELECTIVE - I
0801EE08,7,2011,EE480,6,AB,CORE
0801EE08,7,2011,EE481,6,AA,CORE
0801EE08,7,2011,EE482,3,AA,CORE
0801EE08,7,2011,EE490,6,AA,DEPARTMENTAL ELECTIVE - II
0801EE08,7,2011,EE498,10,AA,CORE
0801EE08,7,2011,MA410,6,AB,OPEN ELECTIVE - I
0801EE08,8,2011,EE483,6,AA,Departmental Elective - III
0801EE08,8,2011,EE491,6,AA,Departmental Elective - IV
0801EE08,8,2011,EE499,14,BB,CORE
0801EE08,8,2011,HS441,6,AB,HSS Elective
0801EE08,8,2011,MA412,6,AB,Open Elective - II
