Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1201CS33,1,2012,CH101,8,BC,CORE
1201CS33,1,2012,CH110,3,BB,CORE
1201CS33,1,2012,EE101,8,BC,CORE
1201CS33,1,2012,HS101,6,BC,CORE
1201CS33,1,2012,MA101,8,BC,CORE
1201CS33,1,2012,ME110,3,BB,CORE
1201CS33,1,2012,ME111,7,BB,CORE
1201CS33,1,2012,PH101,6,CC,CORE
1201CS33,2,2012,CH102,6,CC,CORE
1201CS33,2,2012,CS101,6,CC,CORE
1201CS33,2,2012,CS110,3,AB,CORE
1201CS33,2,2012,EE102,4,AB,CORE
1201CS33,2,2012,MA102,8,BC,CORE
1201CS33,2,2012,ME101,8,BC,CORE
1201CS33,2,2012,PH102,6,BC,CORE
1201CS33,2,2012,PH110,3,BB,CORE
1201CS33,3,2013,CS201,9,CC,CORE
1201CS33,3,2013,CS203,6,BC,CORE
1201CS33,3,2013,CS221,6,CD,CORE
1201CS33,3,2013,EE220,8,BC,CORE
1201CS33,3,2013,HS231,6,BB,HS Elective
1201CS33,3,2013,MA201,8,BC,CORE
1201CS33,4,2014,CS204,6,AB,CORE
1201CS33,4,2014,CS222,6,CC,CORE
1201CS33,4,2014,CS223,3,BB,CORE
1201CS33,4,2014,CS241,7,BB,CORE
1201CS33,4,2014,CS242,5,AB,CORE
1201CS33,4,2014,HS232,6,BB,HS Elective
1201CS33,4,2014,MA225,8,CC,CORE
1201CS33,4,2014,MA251,6,CC,Science Elective
1201CS33,5,2014,CS301,6,CC,CORE
1201CS33,5,2014,CS331,8,BB,CORE
1201CS33,5,2014,CS341,6,BC,CORE
1201CS33,5,2014,CS342,5,AB,CORE
1201CS33,5,2014,CS343,6,CC,CORE
1201CS33,5,2014,CS344,6,AB,CORE
1201CS33,5,2014,CS345,5,AA,CORE
1201CS33,5,2014,HS351,6,BB,Open Elective
1201CS33,6,2015,CS302,6,AB,CORE
1201CS33,6,2015,CS346,6,BC,CORE
1201CS33,6,2015,CS347,3,AB,CORE
1201CS33,6,2015,CS348,8,BC,CORE
1201CS33,6,2015,CS362,8,BC,CORE
1201CS33,6,2015,CS399,3,BB,CORE
1201CS33,6,2015,HS331,6,BC,HS Elective
1201CS33,7,2015,CS400,2,AA,CORE
1201CS33,7,2015,CS421,6,CD,CORE
1201CS33,7,2015,CS422,5,BB,CORE
1201CS33,7,2015,CS498,10,AB,CORE
1201CS33,7,2015,CS544,6,BC,Departmental Elective - I
1201CS33,7,2015,CS545,6,AB,Departmental Elective - II
1201CS33,7,2015,MA410,6,BB,Open Elective - I
1201CS33,8,2016,CS499,16,AB,CORE
1201CS33,8,2016,CS543,6,AB,Departmental Elective III
1201CS33,8,2016,CS548,6,BC,Departmental Elective IV
1201CS33,8,2016,HS441,6,BC,HSS Electives
1201CS33,8,2016,MA508,6,BC,Open Electives II
